食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
アマランサス玄穀,343,13.5,12.7,6,64.9,1,600,160,270,540,9.4,5.8,0.92,6.14,1,13,7,59,0,0,1.3,0,0.04,0.14,3.8,0.58,0,130,1.69,16,0,0,0
あわ精白粒,346,13.3,11.2,4.4,69.7,1,300,14,110,280,4.8,2.5,0.49,0.88,0,2,1,22,0,0,0.6,0,0.56,0.07,6.4,0.18,0,29,1.83,14,0,0,0
あわあわもち,210,48,5.1,1.3,45.3,0,62,5,12,39,0.7,1.1,0.2,0.46,0,1,0,40,0,0,0.1,0,0.08,0.01,1.7,0.03,0,7,0.61,3.4,0,0,0
えんばくオートミール,350,10,13.7,5.7,69.1,3,260,47,100,370,3.9,2.1,0.28,0,0,18,0,110,0,0,0.6,0,0.2,0.08,4.5,0.11,0,30,1.29,22,0,0,0
おおむぎ七分つき押麦,343,14,10.9,2.1,72.1,2,220,23,46,180,1.3,1.4,0.32,0.85,0,0,0,0,0,0,0.2,0,0.22,0.07,5.8,0.14,0,17,0.43,0,0,0,0
おおむぎ押麦乾,329,12.7,6.7,1.5,78.3,2,210,21,40,160,1.1,1.1,0.22,0.86,0,1,0,11,0,0,0.1,0,0.11,0.03,5,0.13,0,10,0.4,2.7,0,0,0
おおむぎ押麦めし,118,68.6,2.2,0.5,28.5,0,38,6,10,46,0.4,0.4,0.08,0.24,0,0,0,3,0,0,0,0,0.02,0,1.3,0.03,0,3,0.13,0.8,0,0,0
おおむぎ米粒麦,333,14,7,2.1,76.2,2,170,17,25,140,1.2,1.2,0.37,0,0,1,0,9,0,0,0.1,0,0.19,0.05,4,0.19,0,10,0.64,3.5,0,0,0
おおむぎ大麦めん乾,343,14,12.9,1.7,68,1100,240,27,63,200,2.1,1.5,0.33,0.9,0,0,0,0,0,0,0,0,0.21,0.04,6.3,0.09,0,19,0.64,0,0,0,2.8
おおむぎ大麦めんゆで,121,70,4.8,0.6,24.3,64,10,12,18,61,0.9,0.6,0.13,0.27,0,0,0,0,0,0,0,0,0.04,0.01,2,0.01,0,5,0.26,0,0,0,0.2
おおむぎ麦こがし,368,3.5,12.5,5,77.1,2,490,43,130,340,3.1,3.8,0.41,1.81,0,0,0,0,0,0,0.5,0,0.09,0.1,11,0.09,0,24,0.28,0,0,0,0
キヌア玄穀,344,12.2,13.4,3.2,69,35,580,46,180,410,4.3,2.8,0.47,2.45,2,3,3,23,1,0,2.6,0,0.45,0.24,4,0.39,0,190,0.95,23,0,0,0.1
きび精白粒,353,13.8,11.3,3.3,70.9,2,200,9,84,160,2.1,2.7,0.38,0,0,2,1,16,0,0,0,0,0.34,0.09,6.2,0.2,0,13,0.95,7.9,0,0,0
こむぎ玄穀国産普通,329,12.5,10.8,3.1,72.1,2,440,26,82,350,3.2,2.6,0.38,3.9,1,3,1,29,0,0,1.2,0,0.41,0.09,8.9,0.35,0,38,1.03,7.5,0,0,0
こむぎ玄穀輸入軟質,344,10,10.1,3.3,75.2,2,390,36,110,290,2.9,1.7,0.32,3.79,0,5,1,19,0,0,1.2,0,0.49,0.09,6.7,0.34,0,40,1.07,9.6,0,0,0
こむぎ玄穀輸入硬質,332,13,13,3,69.4,2,340,26,140,320,3.2,3.1,0.43,4.09,0,54,1,47,0,0,1.2,0,0.35,0.09,8,0.34,0,49,1.29,11,0,0,0
こむぎ小麦粉薄力粉1等,349,14,8.3,1.5,75.8,0,110,20,12,60,0.5,0.3,0.08,0.43,0,4,2,12,0,0,0.3,0,0.11,0.03,2.4,0.03,0,9,0.53,1.2,0,0,0
こむぎ小麦粉薄力粉2等,345,14,9.3,1.9,74.3,0,130,23,30,77,0.9,0.7,0.18,0.77,0,3,2,14,0,0,1,0,0.21,0.04,2.9,0.09,0,14,0.62,2.5,0,0,0
こむぎ小麦粉中力粉1等,337,14,9,1.6,75.1,1,100,17,18,64,0.5,0.5,0.11,0.43,0,7,0,9,0,0,0.3,0,0.1,0.03,2.4,0.05,0,8,0.47,1.5,0,0,0
こむぎ小麦粉中力粉2等,346,14,9.7,1.8,74,1,110,24,26,80,1.1,0.6,0.14,0.77,0,7,2,10,0,0,0.8,0,0.22,0.04,3.1,0.07,0,12,0.66,2.6,0,0,0
こむぎ小麦粉強力粉1等,337,14.5,11.8,1.5,71.7,0,89,17,23,64,0.9,0.8,0.15,0.32,0,39,1,26,0,0,0.3,0,0.09,0.04,3.1,0.06,0,16,0.77,1.7,0,0,0
こむぎ小麦粉強力粉2等,343,14.5,12.6,1.7,70.6,0,86,21,36,86,1,1,0.19,0.58,0,49,1,30,0,0,0.5,0,0.13,0.04,3.6,0.08,0,18,0.93,2.6,0,0,0
こむぎ小麦粉強力粉全粒粉,320,14.5,12.8,2.9,68.2,2,330,26,140,310,3.1,3,0.42,4.02,0,47,3,44,0,0,1,0,0.34,0.09,8.5,0.33,0,48,1.27,11,0,0,0
こむぎ小麦粉プレミックス粉お好み焼き用,335,9.8,10.1,1.9,73.6,1400,210,64,31,320,1,0.7,0.13,0.92,1400,8,3,15,1,0.1,0.6,1,0.21,0.03,3.3,0.07,0.1,17,0.41,2.4,0,0,3.7
こむぎ小麦粉プレミックス粉ホットケーキ用,360,11.1,7.8,4,74.4,390,230,100,12,170,0.5,0.3,0.07,0,0,3,5,11,9,0.1,0.5,1,0.1,0.08,2.2,0.04,0.1,10,0.48,1.5,0,0,1
こむぎ小麦粉プレミックス粉から揚げ用,311,8.3,10.2,1.2,70,3800,280,110,39,130,1.2,0.7,0.1,0.96,1,6,6,23,5,0,0.3,2,0.15,0.07,2.8,0.12,0,26,0.33,4.3,0,0,9.7
こむぎ小麦粉プレミックス粉天ぷら用,337,12.4,8.8,1.3,76.1,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10,1,0,0.3,0,0.12,0.99,2.7,0.06,0,12,0.35,1.3,0,0,0.5
こむぎ小麦粉プレミックス粉天ぷら用バッター,132,65.5,3.3,0.5,30.2,64,67,84,6,51,0.2,0.1,0.04,0.2,1,1,1,3,3,0,0.1,0,0.04,0.16,1,0.02,0,3,0.19,0.5,0,0,0.2
こむぎ小麦粉プレミックス粉天ぷら用バッター揚げ,588,10.2,4.3,47.7,37,79,93,100,8,63,0.3,0.1,0.04,0.26,0,1,2,4,0,0,7.6,81,0.05,0.14,1.3,0.03,0,4,0.21,0.7,0,0,0.2
こむぎパン類角形食パン食パン,248,39.2,8.9,4.1,46.4,470,86,22,18,67,0.5,0.5,0.09,0.25,1,22,1,15,0,0,0.4,0,0.07,0.05,2.6,0.03,0,30,0.42,2.3,0,0,1.2
こむぎパン類角形食パン焼き,269,33.6,9.7,4.5,50.6,520,93,26,20,77,0.5,0.6,0.1,0.28,1,25,1,17,0,0,0.4,0,0.07,0.05,2.9,0.03,0,30,0.45,2.2,0,0,1.3
こむぎパン類角形食パン耳を除いたもの,226,44.2,8.2,3.7,42.6,440,78,20,16,61,0.4,0.4,0.08,0.23,1,20,1,12,0,0,0.3,0,0.06,0.05,2.5,0.04,0,17,0.3,2.2,0,0,1.1
こむぎパン類角形食パン耳,273,33.5,9.7,4.5,50.8,510,92,23,18,73,0.5,0.6,0.1,0.27,1,22,1,14,1,0,0.4,0,0.06,0.06,2.7,0.05,0,27,0.37,2.2,0,0,1.3
こむぎパン類食パンリーンタイプ,246,39.2,8,3.7,47.5,520,67,12,16,46,0.6,0.6,0.1,0.21,0,25,1,17,0,0.3,0.4,0,0.1,0.05,1.9,0.04,0,28,0.54,2.5,0,0,1.3
こむぎパン類食パンリッチタイプ,256,39.2,7.8,6,45.6,0,0,25,15,62,0.6,0.7,0.09,0.18,3,23,1,15,55,0.3,0.3,2,0.09,0.09,2.4,0.05,0.1,42,0.58,4.1,0,0,1
こむぎパン類山形食パン食パン,246,39.2,7.8,3.5,47.9,490,76,18,16,51,0.6,0.6,0.1,0.21,1,24,1,16,0,0,0.4,0,0.08,0.06,2.1,0.05,0,34,0.54,2.4,0,0,1.3
こむぎパン類コッペパン,273,30.6,9.2,3.8,54.7,410,91,22,22,74,0.5,0.7,0.11,0.35,2,19,1,14,1,0,0.6,2,0.08,0.07,2.8,0.05,0.1,36,0.47,3.3,0,0,1
こむぎパン類バンズ,274,32.9,10.4,4.8,50.6,470,97,29,21,85,0.6,0.7,0.11,0.34,1,30,2,18,0,0,0.7,0,0.11,0.06,3.4,0.05,0,27,0.43,3.2,0,0,1.2
こむぎパン類乾パン,386,5.5,9.5,4.4,78.8,490,160,30,27,95,1.2,0.6,0.18,0.82,0,0,0,0,0,0,1.1,0,0.14,0.06,2.8,0.06,0,20,0.41,0,0,0,1.2
こむぎパン類フランスパン,289,30,9.4,1.3,57.5,620,110,16,22,72,0.9,0.8,0.14,0.39,0,29,1,20,0,0,0.1,0,0.08,0.05,2.9,0.04,0,33,0.45,1.9,0,0,1.6
こむぎパン類ライ麦パン,252,35,8.4,2.2,52.7,470,190,16,40,130,1.4,1.3,0.18,0.87,0,0,0,0,0,0,0.3,0,0.16,0.06,2.7,0.09,0,34,0.46,0,0,0,1.2
こむぎパン類全粒粉パン,251,39.2,7.9,5.7,45.5,410,140,14,51,120,1.3,0.4,0.18,1.35,0,27,1,22,0,0,0.8,0,0.17,0.07,3.7,0.13,0,49,0.67,5.4,0,0,1
こむぎパン類ぶどうパン,263,35.7,8.2,3.5,51.1,400,210,32,23,86,0.9,0.6,0.15,0.32,0,0,0,0,0,0,0.4,0,0.11,0.05,2.8,0.07,0,33,0.42,0,0,0,1
こむぎパン類ロールパン,309,30.7,10.1,9,48.6,490,110,44,22,97,0.7,0.8,0.12,0.29,0,0,0,0,1,0.1,0.5,0,0.1,0.06,3.1,0.03,0,38,0.61,0,0,0,1.2
こむぎパン類クロワッサンレギュラータイプ,406,20,6.5,20.4,51.5,530,110,27,14,65,0.4,0.5,0.08,0.26,3,5,0,6,37,1.4,2.6,7,0.11,0.09,2.2,0.05,0.1,46,0.42,3.9,0,0,1.4
こむぎパン類クロワッサンリッチタイプ,438,20,7.9,26.8,43.9,470,90,21,17,67,0.6,0.6,0.1,0.29,0,0,0,0,6,0.1,1.9,0,0.08,0.03,2.6,0.03,0,33,0.44,0,0,0,1.2
こむぎパン類くるみパン,292,39.2,8.2,12.6,38.7,310,150,35,33,88,0.8,0.9,0.23,0.61,2,18,1,12,16,0.1,0.4,2,0.11,0.09,2.5,0.11,0,45,0.55,2.9,0,0,0.8
こむぎパン類イングリッシュマフィン,224,46,8.1,3.6,40.8,480,84,53,19,96,0.9,0.8,0.12,0.28,0,0,0,0,0,0,0.3,0,0.15,0.08,2.8,0.05,0,23,0.32,0,0,0,1.2
こむぎパン類ナン,257,37.2,10.3,3.4,47.6,530,97,11,22,77,0.8,0.7,0.11,0.3,0,0,0,0,0,0,0.6,0,0.13,0.06,3.4,0.05,0,36,0.55,0,0,0,1.3
こむぎパン類ベーグル,270,32.3,9.6,2,54.6,460,97,24,24,81,1.3,0.7,0.11,0.45,0,0,0,0,0,0,0.2,0,0.19,0.08,3.7,0.06,0,47,0.28,0,0,0,1.2
こむぎうどん・そうめん類うどん生,249,33.5,6.1,0.6,56.8,1000,90,18,13,49,0.3,0.3,0.08,0.39,2,6,2,7,0,0,0.2,0,0.09,0.03,1.7,0.03,0,5,0.36,0.8,0,0,2.5
こむぎうどん・そうめん類うどんゆで,95,75,2.6,0.4,21.6,120,9,6,6,18,0.2,0.1,0.04,0.12,0,2,1,2,0,0,0.1,0,0.02,0.01,0.7,0.01,0,2,0.13,0.3,0,0,0.3
こむぎうどん・そうめん類うどん半生うどん,296,23.8,7.8,3.4,62.5,1200,98,22,15,64,0.6,0.3,0.09,0.45,2,6,2,8,0,0,0.2,0,0.1,0.03,2.1,0.03,0,6,0.41,0.9,0,0,3
こむぎうどん・そうめん類干しうどん乾,333,13.5,8.5,1.1,71.9,1700,130,17,19,70,0.6,0.4,0.11,0.5,0,10,1,12,0,0,0.3,0,0.08,0.02,2.5,0.04,0,9,0.45,1.3,0,0,4.3
こむぎうどん・そうめん類干しうどんゆで,117,70,3.1,0.5,25.8,210,14,7,4,24,0.2,0.1,0.04,0.14,0,0,0,0,0,0,0.1,0,0.02,0.01,0.8,0.01,0,2,0.14,0,0,0,0.5
こむぎうどん・そうめん類そうめん・ひやむぎ乾,333,12.5,9.5,1.1,72.7,1500,120,17,22,70,0.6,0.4,0.12,0.44,0,16,1,14,0,0,0.3,0,0.08,0.02,2.8,0.03,0,8,0.7,1.3,0,0,3.8
こむぎうどん・そうめん類そうめん・ひやむぎゆで,114,70,3.5,0.4,25.8,85,5,6,5,24,0.2,0.2,0.05,0.12,0,6,1,3,0,0,0.1,0,0.02,0.01,0.9,0,0,2,0.25,0.4,0,0,0.2
こむぎうどん・そうめん類手延そうめん・手延ひやむぎ乾,312,14,9.3,1.5,68.9,2300,110,20,23,70,0.6,0.4,0.14,0.43,1,22,1,16,0,0,0.1,0,0.06,0.02,2.7,0.03,0,10,0.52,1.1,0,0,5.8
こむぎうどん・そうめん類手延そうめん・手延ひやむぎゆで,119,70,3.5,0.6,25.5,130,5,6,4,23,0.2,0.1,0.05,0.12,0,0,0,0,0,0,0,0,0.03,0.01,0.9,0,0,2,0.16,0,0,0,0.3
こむぎ中華めん類中華めん生,249,33,8.6,1.2,55.7,410,350,21,13,66,0.5,0.4,0.09,0.35,0,33,1,20,0,0,0.2,0,0.02,0.02,2.3,0.02,0,8,0.55,1,0,0,1
こむぎ中華めん類中華めんゆで,133,65,4.9,0.6,29.2,70,60,20,7,29,0.3,0.2,0.05,0.18,0,17,0,5,0,0,0.1,0,0.01,0.01,1.2,0,0,3,0.25,0.5,0,0,0.2
こむぎ中華めん類半生中華めん,305,23.7,9.9,4,61.2,470,430,21,15,72,0.7,0.4,0.1,0.4,1,35,1,23,0,0,0,0,0.07,0.03,2.6,0.02,0,9,0.63,1.3,0,0,1.2
こむぎ中華めん類蒸し中華めん蒸し中華めん,162,57.4,4.9,1.7,35.6,110,80,10,9,40,0.4,0.2,0.06,0.23,0,9,1,6,0,0,0.1,0,0,0.16,1.4,0.02,0,4,0.19,0.7,0,0,0.3
こむぎ中華めん類蒸し中華めんソテー,211,50.4,5.2,4.9,38.9,130,87,10,10,43,0.4,0.2,0.06,0.25,0,10,1,7,0,0,0.1,0,0,0,1.5,0.02,0,4,0.21,0.8,0,0,0.3
こむぎ中華めん類干し中華めん乾,337,14.7,11.7,1.6,70.2,410,300,21,23,82,1.1,0.5,0.15,0.44,0,24,1,18,0,0,0.2,0,0.02,0.03,3.1,0.05,0,11,0.76,1.4,0,0,1
こむぎ中華めん類干し中華めんゆで,131,66.8,4.9,0.5,27.5,66,42,13,10,29,0.4,0.2,0.05,0.18,0,9,0,4,0,0,0,0,0,0,1.1,0.01,0,3,0.25,0.5,0,0,0.2
こむぎ中華めん類沖縄そば生,266,32.3,9.2,2,54.2,810,340,11,50,65,0.7,1.1,0.18,0.69,0,0,0,0,0,0,0.3,0,0.02,0.04,2.6,0.11,0,15,0.63,0,0,0,2.1
こむぎ中華めん類沖縄そばゆで,132,65.5,5.2,0.8,28,170,80,9,28,28,0.4,0.6,0.1,0.37,0,0,0,0,0,0,0.2,0,0.01,0.02,1.2,0.03,0,6,0.23,0,0,0,0.4
こむぎ中華めん類干し沖縄そば乾,317,13.7,12,1.7,67.8,1700,130,23,22,100,1.5,0.4,0.11,0.38,0,0,0,0,0,0,0.1,0,0.12,0.05,3.5,0.05,0,8,0.49,0,0,0,4.3
こむぎ中華めん類干し沖縄そばゆで,132,65,5.2,0.6,28.6,200,10,11,8,36,0.5,0.1,0.05,0.16,0,0,0,0,0,0,0,0,0.02,0.02,1.2,0.01,0,3,0.18,0,0,0,0.5
こむぎ即席めん類即席中華めん油揚げ味付け,424,2,10.1,16.7,63.5,2500,260,430,29,110,1,0.5,0.13,0.82,0,0,0,0,0,0,3.1,1,1.46,1.67,2.5,0.06,0,12,0.41,0,0,0,6.4
こむぎ即席めん類即席中華めん油揚げ乾添付調味料等を含むもの,439,3,10.1,19.1,61.4,2200,150,230,25,110,0.9,0.5,0.16,0.53,2,16,7,16,1,0,2.2,3,0.55,0.83,2.6,0.05,0,10,0.44,1.8,0,0,5.6
こむぎ即席めん類即席中華めん油揚げ調理後全体添付調味料等を含むもの,100,78.5,2.3,4.4,13.4,430,33,28,6,20,0.2,0.1,0.03,0.12,0,4,2,4,0,0,0.5,1,0.02,0.13,0.6,0.01,0,2,0.1,0.4,0,0,1.1
こむぎ即席めん類即席中華めん油揚げゆで添付調味料等を含まないもの,189,59.8,3.9,7.7,27.9,150,34,95,8,40,0.2,0.2,0.05,0.17,1,9,2,6,0,0,0.8,0,0.05,0.06,1.1,0.01,0,3,0.11,0.7,0,0,0.4
こむぎ即席めん類即席中華めん油揚げ乾添付調味料等を含まないもの,453,3.7,8.9,19.6,65.5,580,150,220,20,97,0.6,0.4,0.09,0.42,1,24,5,18,0,0,2.2,1,0.16,0.19,2.8,0.05,0,9,0.26,1.6,0,0,1.5
こむぎ即席めん類即席中華めん非油揚げ乾添付調味料等を含むもの,336,10,10.3,5.2,67.1,2700,260,110,25,110,0.8,0.4,0.11,0.66,13,8,3,16,1,0,1.3,3,0.21,0.04,2.7,0.05,0,14,0.37,2.2,0,0,6.9
こむぎ即席めん類即席中華めん非油揚げ調理後全体添付調味料等を含むもの,93,76.2,3,0.8,18.7,430,68,6,6,26,0.2,0.1,0.03,0.17,4,2,1,4,0,0,0.2,1,0.01,0.01,0.7,0.01,0,4,0.1,0.6,0,0,1.1
こむぎ即席めん類即席中華めん非油揚げゆで添付調味料等を含まないもの,139,63.9,3.4,0.8,31,230,64,94,8,46,0.2,0.2,0.04,0.17,1,5,2,4,3,0,0.7,0,0,0,1.1,0.01,0,3,0.12,0.6,0,0,0.6
こむぎ即席めん類即席中華めん非油揚げ乾添付調味料等を含まないもの,334,10.7,8.5,1.9,75.2,1200,310,230,21,130,0.6,0.4,0.08,0.5,3,14,6,15,5,0,1.7,0,0.01,0.01,2.8,0.05,0,8,0.34,1.5,0,0,3
こむぎ即席めん類中華スタイル即席カップめん油揚げ塩味乾添付調味料等を含むもの,422,5.3,10.9,18.5,58.6,2300,190,190,25,110,0.7,0.5,0.09,0.41,5,22,9,15,26,0.2,3.1,17,0.9,0.61,2.9,0.07,0.1,16,0.3,2.3,2,0,5.8
こむぎ即席めん類中華スタイル即席カップめん油揚げ塩味調理後全体添付調味料等を含むもの,92,79.8,2.5,4.2,13.2,520,43,43,6,24,0.2,0.1,0.02,0.09,1,5,2,3,6,0,0.7,4,0.2,0.14,0.7,0.02,0,4,0.07,0.5,1,0,1.3
こむぎ即席めん類中華スタイル即席カップめん油揚げ塩味調理後のめんスープを残したもの,175,62,3.8,7.7,25.2,440,37,76,7,34,0.3,0.2,0.04,0.14,1,9,3,5,6,0,1.2,1,0.19,0.14,0.9,0.02,0,4,0.1,0.6,0,0,1.1
こむぎ即席めん類中華スタイル即席カップめん油揚げしょうゆ味乾添付調味料等を含むもの,417,9.7,10,19.1,54.6,2500,180,200,26,110,0.8,0.5,0.07,0.4,12,19,7,17,12,0,2.7,10,0.61,0.52,2.7,0.06,0.1,14,0.2,2.4,2,0,6.3
こむぎ即席めん類中華スタイル即席カップめん油揚げしょうゆ味調理後全体添付調味料等を含むもの,90,80.8,2.3,4.5,12.9,590,43,46,6,27,0.2,0.1,0.02,0.09,3,4,2,4,3,0,0.6,2,0.14,0.12,0.6,0.01,0,3,0.05,0.6,1,0,1.5
こむぎ即席めん類中華スタイル即席カップめん油揚げしょうゆ味調理後のめんスープを残したもの,142,69.1,3,5.8,20.7,450,33,74,6,28,0.2,0.1,0.04,0.13,3,7,2,4,1,0,0.9,1,0.15,0.14,0.8,0.01,0,3,0.07,0.6,0,0,1.1
こむぎ即席めん類中華スタイル即席カップめん油揚げ焼きそば乾添付調味料等を含むもの,418,11.1,8.2,18.6,57.5,1500,180,180,27,89,1,0.4,0.12,0.56,6,16,4,15,4,0,3.1,14,0.48,0.66,2.1,0.06,0,13,0.38,1.9,1,0,3.8
こむぎ即席めん類中華スタイル即席カップめん油揚げ焼きそば調理後全体添付調味料等を含むもの,222,53.6,5,11.3,34.2,910,100,94,14,54,0.4,0.3,0.06,0.3,3,9,3,9,2,0,1.8,11,0.28,0.3,1.4,0.04,0,9,0.15,1.1,2,0,2.3
こむぎ即席めん類中華スタイル即席カップめん非油揚げ乾添付調味料等を含むもの,314,15.2,9.2,5.8,62.6,2800,250,48,26,100,1.2,0.4,0.1,0.66,58,14,7,18,12,0,1.1,9,0.16,0.13,2.2,0.07,0,21,0.35,2.9,1,0,7.1
こむぎ即席めん類中華スタイル即席カップめん非油揚げ調理後全体添付調味料等を含むもの,66,83.5,2.5,2.1,10.2,560,77,44,7,34,0.2,0.1,0.02,0.12,14,3,2,4,3,0,0.3,3,0.1,0.1,0.7,0.02,0,4,0.08,0.7,2,0,1.4
こむぎ即席めん類中華スタイル即席カップめん非油揚げ調理後のめんスープを残したもの,121,68.8,3.4,1.3,25.3,380,53,76,7,42,0.3,0.1,0.03,0.17,10,5,2,3,0,0,0.3,1,0.05,0.06,0.8,0.01,0,3,0.07,0.6,0,0,1
こむぎ即席めん類和風スタイル即席カップめん油揚げ乾添付調味料等を含むもの,437,6.2,10.9,19.8,56.1,2600,150,170,26,160,1.3,0.5,0.11,0.54,430,13,5,19,4,0,2.6,5,0.11,0.05,2.9,0.05,0.2,12,0.25,2,1,0,6.7
こむぎ即席めん類和風スタイル即席カップめん油揚げ調理後全体添付調味料等を含むもの,91,80.5,2.2,4.7,11.2,550,34,41,6,38,0.2,0.1,0.02,0.1,99,3,1,4,0,0,0.6,1,0.19,0.08,0.6,0.01,0,2,0.06,0.5,2,0,1.4
こむぎ即席めん類和風スタイル即席カップめん油揚げ調理後のめんスープを残したもの,163,64.4,2.7,7.2,24.4,420,26,78,6,48,0.2,0.1,0.02,0.13,77,4,2,3,0,0,1,1,0.15,0.06,0.7,0.01,0,3,0.07,0.4,1,0,1.1
こむぎマカロニ・スパゲッティ類マカロニ・スパゲッティ乾,347,11.3,12.9,1.8,73.1,1,200,18,55,130,1.4,1.5,0.28,0.82,0,63,1,53,1,0,0.3,0,0.19,0.06,4.9,0.11,0,13,0.65,4,0,0,0
こむぎマカロニ・スパゲッティ類マカロニ・スパゲッティゆで,150,60,5.8,0.9,32.2,460,14,8,20,53,0.7,0.7,0.14,0.35,0,32,1,13,0,0,0.1,0,0.06,0.03,1.7,0.02,0,4,0.28,1.6,0,0,1.2
こむぎマカロニ・スパゲッティ類マカロニ・スパゲッティソテー,186,57,5.5,5.8,30.5,440,13,8,19,50,0.7,0.7,0.13,0.33,0,31,1,12,0,0,0.9,6,0.06,0.03,1.7,0.02,0,4,0.27,1.5,0,0,1.1
こむぎマカロニ・スパゲッティ類生パスタ生,232,42,7.8,1.9,46.9,470,76,12,18,73,0.5,0.5,0.12,0.32,0,0,0,0,0,0,0.1,0,0.05,0.04,2.6,0.05,0,9,0.27,0,0,0,1.2
こむぎふ類生ふ,161,60,12.7,0.8,26.2,7,30,13,18,60,1.3,1.8,0.25,1.04,0,0,0,0,0,0,0,0,0.08,0.03,2.9,0.02,0,7,0.12,0,0,0,0
こむぎふ類焼きふ釜焼きふ,357,11.3,28.5,2.7,56.9,6,120,33,43,130,3.3,2.2,0.32,0,0,0,0,0,0,0,0.5,0,0.16,0.07,9,0.08,0,16,0.58,0,0,0,0
こむぎふ類焼きふ板ふ,351,12.5,25.6,3.3,57.3,190,220,31,90,220,4.9,2.9,0.49,1.54,0,0,0,0,0,0,0.6,0,0.2,0.08,8.5,0.16,0,22,0.79,0,0,0,0.5
こむぎふ類焼きふ車ふ,361,11.4,30.2,3.4,54.2,110,130,25,53,130,4.2,2.7,0.42,1.23,0,0,0,0,0,0,0.4,0,0.12,0.07,8.7,0.07,0,11,0.47,0,0,0,0.3
こむぎふ類油ふ,547,7.1,22.7,35.3,34.4,22,71,19,28,95,1.7,1.4,0.21,0.94,0,38,3,19,0,0,3.9,65,0.07,0.03,5.6,0.06,0.1,17,0.22,4.6,0,0,0.1
こむぎその他小麦はいが,391,3.6,32,11.6,48.3,3,1100,42,310,1100,9.4,16,0.89,0,0,0,0,0,5,0,28,2,1.82,0.71,10,1.24,0,390,1.34,0,0,0,0
こむぎその他小麦たんぱく粉末状,398,6.5,72,9.7,10.6,60,90,75,75,180,6.6,5,0.75,2.67,0,0,0,0,1,0,1.1,0,0.03,0.12,17,0.1,0,34,0.61,0,0,0,0.2
こむぎその他小麦たんぱく粒状,101,76,20,2,1.8,36,3,14,16,54,1.8,1.4,0.22,0.62,0,0,0,0,0,0,0.5,0,0.02,0.01,4.8,0.01,0,5,0,0,0,0,0.1
こむぎその他小麦たんぱくペースト状,145,66,25,4.1,3.9,230,39,30,54,160,3,2.4,0.36,1.57,0,0,0,0,1,0,1.7,0,0.2,0.03,7.2,0.04,0,17,0.45,0,0,0,0.6
こむぎその他かやきせんべい,359,9.8,10.6,1.9,75.1,970,150,19,27,110,0.8,0.6,0.15,0.76,1,5,1,15,0,0,0.3,0,0.17,0.02,3,0.09,0,16,0.39,2.3,0,0,2.5
こむぎその他ぎょうざの皮生,275,32,9.3,1.4,57,2,64,16,18,60,0.8,0.6,0.12,0.28,0,0,0,0,0,0,0.2,0,0.08,0.04,2.5,0.06,0,12,0.61,0,0,0,0
こむぎその他しゅうまいの皮生,275,31.1,8.3,1.4,58.9,2,72,16,17,60,0.6,0.5,0.1,0.28,0,0,0,0,0,0,0.2,0,0.09,0.04,2.2,0.05,0,9,0.5,0,0,0,0
こむぎその他春巻きの皮生,288,26.7,8.3,1.6,62.2,440,77,13,13,54,0.3,0.3,0.09,0.23,1,18,1,12,0,0,0,1,0.03,0.01,2,0.03,0,9,0.18,0.9,0,0,1.1
こむぎその他春巻きの皮揚げ,512,7.3,7.2,30.7,53.7,370,66,11,11,48,0.3,0.3,0.09,0.2,0,16,1,11,0,0,4.9,47,0.02,0.01,1.8,0.02,0,8,0.18,0.8,0,0,0.9
こむぎその他ピザ生地,265,35.3,9.1,3,51.1,510,91,13,22,77,0.8,0.6,0.09,0.5,0,0,0,0,0,0,0.3,0,0.15,0.11,2.5,0.05,0,20,0.54,0,0,0,1.3
こむぎその他ちくわぶ,160,60.4,7.1,1.2,31.1,1,3,8,6,31,0.5,0.2,0.07,0.08,0,0,0,0,0,0,0,0,0.01,0.02,1.7,0.01,0,4,0.25,0,0,0,0
こむぎその他パン粉生,277,35,11,5.1,47.6,350,110,25,29,97,1.1,0.7,0.15,0.47,0,0,0,0,0,0,0.3,0,0.11,0.02,3.1,0.05,0,40,0.41,0,0,0,0.9
こむぎその他パン粉半生,315,26,12.5,5.8,54.3,400,130,28,34,110,1.2,0.8,0.17,0.53,0,0,0,0,0,0,0.4,0,0.13,0.03,3.5,0.06,0,46,0.47,0,0,0,1
こむぎその他パン粉乾燥,349,11.9,14.9,4.1,67.4,570,160,25,36,120,1.1,0.9,0.16,0.62,1,46,1,25,0,0,0.4,1,0.16,0.05,4.5,0.1,0,24,0.46,4.1,0,0,1.4
こむぎその他冷めん生,249,36.4,3.9,0.7,57.6,530,59,11,12,57,0.3,0.2,0.05,0.21,0,0,0,0,0,0,0,0,0.04,0,1.2,0.02,0,4,0.11,0,0,0,1.3
