食品名,エネルギー,水分,たんぱく質,脂質,炭水化物,ナトリウム,カリウム,カルシウム,マグネシウム,リン,鉄,亜鉛,銅,マンガン,ヨウ素,セレン,クロム,モリブデン,ビタミンA,ビタミンD,ビタミンE,ビタミンK,ビタミンB1,ビタミンB2,ナイアシン当量,ビタミンB6,ビタミンB12,葉酸,パントテン酸,ビオチン,ビタミンC,アルコール,食塩相当量
バター類無発酵バター食塩不使用バター,720,15.8,0.5,83,0.2,11,22,14,2,18,0.4,0.1,0.01,0.01,3,0,0,3,800,0.7,1.4,24,0,0.03,0.1,0,0.1,1,0.08,0.3,0,0,0
バター類発酵バター有塩バター,713,13.6,0.6,80,4.4,510,25,12,2,16,0.4,0.1,0.01,0.01,0,0,0,0,780,0.7,1.3,30,0,0.02,0.1,0,0.1,1,0,0,0,0,1.3
マーガリン類マーガリン家庭用有塩,715,14.7,0.4,83.1,0.5,500,27,14,2,17,0,0.1,0,0,2,1,0,2,25,11,15,53,0.01,0.03,0.1,0,0,0,0,0.2,0,0,1.3
マーガリン類マーガリン家庭用無塩,715,14.7,0.4,83.1,0.5,0,27,14,2,17,0,0.1,0,0,2,1,0,2,25,11,15,53,0.01,0.03,0.1,0,0,0,0,0.2,0,0,0
マーガリン類マーガリン業務用有塩,740,14.8,0.3,84.3,0.1,490,27,14,2,17,0,0.1,0,0,2,1,0,2,24,11,15,53,0.01,0.03,0,0,0,0,0,0.2,0,0,1.3
マーガリン類マーガリン業務用無塩,740,14.8,0.3,84.3,0.1,0,27,14,2,17,0,0.1,0,0,2,1,0,2,24,11,15,53,0.01,0.03,0.1,0,0,0,0,0.2,0,0,0
マーガリン類ファットスプレッド,579,30.2,0.2,69.1,0,420,17,8,2,10,0,0,0,0,1,0,0,1,31,1.1,16,71,0.02,0.02,0,0,0,0,0,0.1,0,0,1.1
その他ショートニング家庭用,889,0.1,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9.5,6,0,0,0,0,0,0,0,0,0,0,0
その他ショートニング業務用製菓,881,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9.5,6,0,0,0,0,0,0,0,0,0,0,0
その他ショートニング業務用フライ,886,0.1,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9.5,6,0,0,0,0,0,0,0,0,0,0,0
和生菓子・和半生菓子類甘納豆あずき,283,26.2,3.4,0.3,69.5,45,170,11,17,38,0.7,0.4,0.12,0.18,0,1,5,38,0,0,0,1,0.06,0.02,0.9,0.04,0,9,0.17,1.5,0,0,0.1
和生菓子・和半生菓子類甘納豆いんげんまめ,288,25.2,3.8,0.5,69.9,45,170,26,19,55,0.8,0.4,0.13,0.34,0,0,0,11,0,0,0,1,0.09,0.03,1,0.03,0,13,0.06,1.5,0,0,0.1
和生菓子・和半生菓子類甘納豆えんどう,293,23.1,3.8,0.4,72.2,47,110,12,17,27,0.9,0.6,0.09,0,0,2,1,26,2,0,0,3,0.11,0.02,0.9,0,0,2,0.16,2.4,0,0,0.1
和生菓子・和半生菓子類今川焼こしあん入り,217,45.5,4.5,1.1,48.3,57,64,29,8,55,0.6,0.3,0.06,0.22,2,3,1,12,14,0.3,0.2,2,0.04,0.04,1.1,0.01,0.1,6,0.23,2.3,0,0,0.1
和生菓子・和半生菓子類今川焼つぶしあん入り,220,45.5,4.5,1.4,48.2,71,95,23,10,62,0.6,0.3,0.08,0.22,2,3,1,16,15,0.3,0.2,2,0.04,0.04,1.1,0.02,0.1,8,0.27,2.4,0,0,0.2
和生菓子・和半生菓子類今川焼カスタードクリーム入り,224,45.5,4.7,2.6,46.7,52,95,46,7,88,0.5,0.4,0.04,0.15,10,6,1,5,51,0.8,0.4,3,0.06,0.08,1.3,0.04,0.3,14,0.5,5.2,0,0,0.1
和生菓子・和半生菓子類ういろう白,181,54.5,1,0.2,44.2,1,17,2,4,18,0.2,0.2,0.04,0.13,0,1,1,13,0,0,0,0,0.02,0,0.5,0.02,0,2,0.11,0.2,0,0,0
和生菓子・和半生菓子類ういろう黒,174,54.5,1.5,0.2,42.7,1,41,3,10,44,0.4,0.4,0.08,0.31,0,2,1,32,0,0,0.1,0,0.04,0.01,1.1,0.05,0,5,0.28,0.5,0,0,0
和生菓子・和半生菓子類うぐいすもちこしあん入り,236,40,3.5,0.4,55.8,35,21,19,9,30,0.9,0.5,0.09,0.28,1,1,0,25,0,0,0,2,0.01,0.01,0.8,0,0,3,0.02,0.9,0,0,0.1
和生菓子・和半生菓子類うぐいすもちつぶしあん入り,237,40,2.7,0.4,56.8,46,59,8,9,35,0.7,0.5,0.11,0.25,1,1,1,29,0,0,0,2,0.01,0.01,0.8,0.01,0,6,0.06,0.8,0,0,0.1
和生菓子・和半生菓子類かしわもちこしあん入り,203,48.5,4,0.4,46.7,55,40,18,13,47,0.9,0.5,0.11,0,0,1,1,36,0,0,0,2,0.03,0.02,1.2,0.04,0,4,0.21,0.9,0,0,0.1
和生菓子・和半生菓子類かしわもちつぶしあん入り,204,48.5,3.9,0.5,46.6,67,78,7,15,58,0.7,0.6,0.13,0,0,2,1,44,0,0,0,2,0.04,0.02,1.2,0.06,0,7,0.31,0.9,0,0,0.2
和生菓子・和半生菓子類カステラ,313,25.6,7.1,5,61.8,71,86,27,7,85,0.7,0.6,0.03,0.1,8,15,0,4,91,2.3,2.3,6,0.05,0.18,1.9,0.05,0.4,22,0.54,11,0,0,0.2
和生菓子・和半生菓子類かのこ,260,34,4.8,0.4,60.4,22,93,23,15,37,0.9,0.4,0.11,0.25,0,0,3,31,0,0,0,2,0.03,0.02,0.8,0.02,0,5,0.1,1.3,0,0,0.1
和生菓子・和半生菓子類かるかん,226,42.5,2.1,0.3,54.8,2,120,3,8,32,0.3,0.3,0.08,0.17,0,1,0,17,0,0,0.1,0,0.05,0.01,0.8,0.04,0,5,0.29,0.7,1,0,0
和生菓子・和半生菓子類きび団子,298,24.4,1.6,0.2,73.7,1,2,2,1,11,0.3,0.3,0.05,0.14,1,1,0,14,0,0,0,0,0.01,0,0.5,0,0,3,0,0.3,0,0,0
和生菓子・和半生菓子類ぎゅうひ,253,36,1.3,0.2,62.4,1,1,1,1,10,0.2,0.3,0.04,0.12,1,1,0,12,0,0,0,0,0.01,0,0.4,0,0,3,0,0.2,0,0,0
和生菓子・和半生菓子類きりざんしょ,245,38,2.1,0.3,59.3,66,31,2,8,32,0.3,0.3,0.07,0.25,0,1,0,26,0,0,0.1,0,0.03,0.01,0.9,0.04,0,4,0.22,0.4,0,0,0.2
和生菓子・和半生菓子類きんぎょく糖,282,28,0,0,71.9,2,2,7,1,0,0.1,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和生菓子・和半生菓子類きんつば,260,34,6,0.7,58.6,120,160,20,22,73,1.4,0.7,0.19,0.41,0,1,1,47,0,0,0.1,6,0.03,0.03,1.2,0.03,0,8,0.22,1.7,0,0,0.3
和生菓子・和半生菓子類草もちこしあん入り,224,43,4.2,0.4,52.1,17,46,22,14,50,1,0.6,0.12,0.4,0,1,1,36,13,0,0.1,11,0.03,0.02,1.3,0.04,0,5,0.21,0.9,0,0,0
和生菓子・和半生菓子類草もちつぶしあん入り,227,43,4.8,0.7,51.1,30,90,13,16,60,0.9,0.6,0.14,0.42,0,2,1,43,18,0,0.2,15,0.04,0.02,1.4,0.05,0,9,0.3,0.9,0,0,0.1
和生菓子・和半生菓子類くし団子あんこしあん入り,198,50,3.8,0.4,45.4,22,43,13,13,50,0.7,0.5,0.11,0.4,0,2,1,39,0,0,0.1,1,0.04,0.02,1.3,0.05,0,5,0.27,0.8,0,0,0.1
和生菓子・和半生菓子類くし団子あんつぶしあん入り,199,50,3.8,0.5,45.4,24,68,6,15,57,0.6,0.6,0.12,0.41,1,2,1,44,0,0,0.1,1,0.04,0.01,1.2,0.06,0,7,0.34,0.8,0,0,0.1
和生菓子・和半生菓子類くし団子みたらし,194,50.5,3.2,0.4,44.9,250,59,4,13,52,0.4,0.5,0.09,0.39,1,2,1,37,0,0,0.1,0,0.04,0.02,1.3,0.06,0,7,0.33,1.1,0,0.1,0.6
和生菓子・和半生菓子類くずもち関西風くずでん粉製品,93,77.4,0.1,0.1,22.5,1,1,5,1,3,0.5,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和生菓子・和半生菓子類くずもち関東風小麦でん粉製品,94,77.4,0.1,0.1,22.4,1,2,4,1,9,0.2,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和生菓子・和半生菓子類げっぺい,348,20.9,4.7,8.5,65.5,2,64,41,24,64,1.1,0.7,0.18,0.53,0,1,1,36,0,0,0.6,2,0.05,0.03,1.5,0.06,0,8,0.23,1.1,0,0,0
